added,address,amenities,area,bath,bedrooms,currency,deal_type,description,home_url,house_type,is_titanium,is_trusted,is_verified,location,price,price_in_rupees,purpose,title,type
29 minutes ago,"DHA Phase 6 - Block C, DHA Phase 6, DHA Defence, Lahore, Punjab","{'Main Features': ['Built in year: 2023', 'Parking Spaces:  4', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features', 'Furnished'], 'Rooms': ['Bedrooms: 5', 'Bathrooms: 6', 'Servant Quarters: 2', 'Drawing Room', 'Dining Room', 'Kitchens: 3', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms: 1', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Swimming Pool', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Maintenance Staff', 'Security Staff', 'Facilities for Disabled', 'Other Facilities']}",1 Kanal,6,5,PKR,super hot,"HARAM ESTATE AND BUILDERS;,1 Kanal Brand New Ultra Modern Luxurious Bungalow For Sale In DHA Phase 6,1 Kanal House Located On 50 Feet Road One Minute Walking Distance From Main Mosque. ,Total Covered Area Of House Is 5400 Sq Ft. ,splendid Double Height Lobby,white And Bright Interior And Exterior,5 Master Bedrooms With Attached Luxury Baths, grohee Fittings Used In All Washrooms. Spanish Tiled Used In All Washrooms. ,inverter Splits In Whole House,doors Height 9 Feet Solid Ash Wood Doors With Italian Mandele Locks. ,fully Automation House Including Lights, Chandeliers Fans And Ac,s,italian Smc Kitchen With All Accessories,imported Porcelain Spanish Tiles Used For Floors. ,beautiful Feature Walls With Imported Bonsai Planters. ,imported Wallpapers From Dubai With Elegant Chandeliers,for Details And Visit Please Call;",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_c_1_kanal_brand_new_ultra_modern_luxurious_bungalow_for_sale-50585923-1612-1.html,House,yes,yes,no,"DHA Defence, Lahore, Punjab",7.95 Crore,79500000.0,For Sale,1 Kanal Brand New Ultra Modern Luxurious Bungalow For Sale,
51 minutes ago,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave, Bahria Town, Lahore, Punjab","{'Main Features': ['Built in year: 2024', 'Parking Spaces', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features', 'Furnished'], 'Rooms': ['Bedrooms: 5', 'Bathrooms: 6', 'Servant Quarters', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Security Staff', 'Other Facilities']}",10 Marla,6,5,PKR,super hot,"Discover an unparalleled opportunity with Hasnat Properties in Bahria Town Lahore. ,Unlock the doors to your dream home with this exquisite property nestled in the heart of Bahria Town Lahore. Situated in a prime location near the bustling commercial hub and surrounded by a plethora of amenities, this house offers a lifestyle of luxury and convenience. Boasting underground wiring, spacious footpaths, illuminated streets, round-the-clock water and power supply, waste management services, and stringent security measures, the block epitomizes modern living at its finest. ,Bahria Town is a beacon for those seeking a vibrant community enriched with top-tier facilities. Residents are treated to a myriad of conveniences including hospitals, schools, health clubs, shopping arcades, cinemas, restaurants, lush parks, recreational centers, and stunning mosques, all within arm's reach. ,For more information, reach out to us. ,Indulge in Bahria Town's Rich Amenities:,- Serene Parks,- State-of-the-art Cinemas,- Advanced Hospitals,- Renowned Schools,- Iconic Eiffel Tower Replica,- Premium Health Clubs,- Expansive Shopping Malls,- Culinary Delights at Restaurants,- Leisure Activities at Recreational Centers,- Exquisite Mosques, - Impeccably Maintained Parks,- Vigilant 24/7 Security Patrols,- Fire Safety Infrastructure,- Efficient Garbage Collection Services,- Seamless Power Supply with Backup Generators,- Prompt On-Call Maintenance Assistance,- About Us: Hasnat Properties,Hasnat Properties operates under the regulatory framework for real estate businesses in Pakistan (Regulation of Business Ordinance, 1980). Renowned for our expertise in marketing properties of exceptional value, we uphold the highest standards of professionalism, presentation, and service quality. Specializing in prominent societies across Lahore and Islamabad, we offer complimentary initial consultations handled by our qualified consultants or directors. With a focus on nurturing long-term relationships, we prioritize customer needs and provide genuine property solutions coupled with exemplary after-sales services. ,Whether you're buying, selling, or renting, our seasoned property experts are just a phone call away, ready to assist you with unparalleled service.",https://www.zameen.com/Property/bahria_town_overseas_enclave_bahria_town_-_overseas_a_10_marla_brand_new_ultra_luxury_house_for_sale_with_original_pics_in_overseas-a_bahria_town_lahore-51383290-1812-1.html,House,yes,yes,no,"Bahria Town, Lahore, Punjab",5.2 Crore,52000000.0,For Sale,10 Marla Brand New Ultra Luxury House For Sale (With Original Pics) In Overseas-A Bahria Town Lahore,
43 minutes ago,"DHA 9 Town, DHA Defence, Lahore, Punjab","{'Main Features': ['Built in year: 2022', 'Parking Spaces', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features', 'Furnished'], 'Rooms': ['Bedrooms: 3', 'Bathrooms: 4', 'Servant Quarters: 1', 'Drawing Room', 'Dining Room', 'Kitchens', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Swimming Pool', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Maintenance Staff', 'Security Staff', 'Facilities for Disabled', 'Other Facilities']}",5 Marla,4,3,PKR,super hot,"IT HAS ,- 3 Bedrooms with attached washrooms ,- Tiles and wooden flooring in bedrooms ,- Solid tiles flooring in washrooms ,- Solid sentry fittings in washrooms ,- Kitchen with solid cabinets and burners ,- T. V lounge with huge sitting area ,- Open terrace with huge sitting area ,- Garage with single car parking ,- Store room ,- Powder Room ,- Lush green lawn ,- Comfortable stairs ,- Solid wooden doors and Main gate ,This house is situated nearby Commercial market, Masjid and Park ,OWNER DEMAND Call Now ,For further information call",https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_corner_near_huge_park_top_notch_eye_catching_luxury_villa_for_sale_in_dha-43804041-1452-1.html,House,yes,yes,no,"DHA Defence, Lahore, Punjab",1.88 Crore,18800000.0,For Sale,5 Marla Corner Near Huge Park Top Notch Eye Catching Luxury Villa For Sale In DHA,
31 minutes ago,"DHA 9 Town - Block A, DHA 9 Town, DHA Defence, Lahore, Punjab","{'Main Features': ['Built in year: 2023', 'Parking Spaces', 'Double Glazed Windows', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features'], 'Rooms': ['Bedrooms: 3', 'Bathrooms: 3', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Store Rooms', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Mosque', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Sauna', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Security Staff', 'Other Facilities']}",5 Marla,4,3,PKR,super hot,"3 Beds Attached Tiles Bath ,Tvl Kitchen Modern Design House On Very Reasonable Price From Market ,Ideal Loaction easy Approach ,For More info More Options Available Please Contact Us Thank You",https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_buying_chance_5_marla_modern_house_urgent_sale_on_very_reasonable_price-51576289-8173-1.html,House,yes,yes,no,"DHA Defence, Lahore, Punjab",2.1 Crore,21000000.0,For Sale,Buying Chance 5 Marla Modern House Urgent Sale On Very Reasonable Price,
6 minutes ago,"Park View City, Lahore, Punjab","{'Main Features': ['Built in year:  2023', 'Parking Spaces: 1', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features', 'Furnished'], 'Rooms': ['Bedrooms: 4', 'Bathrooms: 5', 'Servant Quarters', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Swimming Pool', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Maintenance Staff', 'Security Staff', 'Facilities for Disabled', 'Other Facilities']}",5 Marla,5,4,PKR,super hot,"* Sarina'S Builder Offers You Ready Houses On Cash (Full Paid). ,* We Are Also Deal Homes On Installments &Amp; Delivered In 4 To 6 Months As Per Your Selected Design Or Map (3 Years Easy Installments Plan),* Model Houses Available For Visit (For Installments/Construction Plan),* For Installments Plan House Pictures Are Used As Sample Houses.",https://www.zameen.com/Property/lahore_park_view_city_3_years_instalments_plan_house_for_sale_in_park_view_city-50208956-1466-1.html,House,no,no,no,"Park View City, Lahore, Punjab",1.68 Crore,16800000.0,For Sale,3 Years Instalments Plan House For Sale In Park View City,
6 minutes ago,"Park View City, Lahore, Punjab","{'Main Features': ['Built in year: 2024', 'Parking Spaces: 2', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features', 'Furnished'], 'Rooms': ['Bedrooms: 5', 'Bathrooms: 6', 'Servant Quarters: 1', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms: 1', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Swimming Pool', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Maintenance Staff', 'Security Staff', 'Facilities for Disabled', 'Other Facilities']}",10 Marla,6,5,PKR,super hot,"* Sarina'S Builder Offers You Ready Houses On Cash (Full Paid). ,* We Are Also Deal Homes On Installments &Amp; Delivered In 4 To 6 Months As Per Your Selected Design Or Map (3 Years Easy Installments Plan),* Model Houses Available For Visit (For Installments/Construction Plan),* For Installments Plan House Pictures Are Used As Sample Houses.",https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_10_marla_brand_new_house_for_sale_in_park_view_city-50920520-1466-1.html,House,no,no,no,"Park View City, Lahore, Punjab",3.15 Crore,31500000.0,For Sale,3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,
47 minutes ago,"DHA Phase 6, DHA Defence, Lahore, Punjab","{'Main Features': ['Parking Spaces: 4', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2'], 'Rooms': ['Bedrooms: 5', 'Bathrooms: 6', 'Servant Quarters: 1', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms: 1', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Nearby Public Transport Service']}",1 Kanal,6,5,PKR,super hot,"COMPLETE WIRING OF UPS AND GENERATOR DONE IN THE HOUSE,NEAR TO PARK MOSQUE SCHOOL MARKET ,ALL THE CONSTRUCTION NEAR AND ADJACENT TO THE HOUSE IS NEW,SPACIOUS GREEN BELT,HOUSE IS COMPLETED ACCORDING TO SOCIETY BY LAWS,THE SUPERB ELEVATION HOUSE LOCATION IS EXCELLENT ,MAIN HOSPITALS ARE SO NEARBY THAT HARDLY JUST 5 MINUTES AWAY FROM THE PREMISES ,ALL THE BASIC NECESSITIES OF LIFE ARE AVAILABLE ,ALL THE BASIC UTILITIES ARE AVAILABLE INCLUDING CONNECTIONS TO WATER SEWAGE GAS AND ELECTRICITY,ADDITIONAL FEATURES,A GATED COMMUNITY PROVIDES YOU A SENSE OF SECURITY EVEN IF YOU ARE NOT AT HOME ,WALKING DISTANCE FROM THE PARK ,THE MOSQUE IS NEARBY ,NEAR FOOD STREET ,DEMAND IS VERY REASONABLE EVEN IF WE COMPARE TO THE AREA WHICH IS NOT EVEN CLOSE TO SUCH ,PEACEFUL AREA ,NOTE,FOR EXCEPTIONAL SERVICES KINDLY DO NOT HESITATE TO CALL US AS OUR EXPERT TEAM IS AVAILABLE ALL THE TIME TO PROVIDE YOUR SERVICES OR GUIDE ANY OF YOUR PROPERTY RELATED INQUIRES AS WE DEAL FROM RENTING PROPERTY TO SELLING PLOTS BOTH RESIDENTIAL COMMERCIAL AND HOUSES,LEADS ESTATES",https://www.zameen.com/Property/dha_defence_dha_phase_6_01_kanal_glorious_house_for_sale_in_dha_phase_6-51627525-1448-1.html,House,yes,yes,no,"DHA Defence, Lahore, Punjab",7.75 Crore,77500000.0,For Sale,01 KANAL GLORIOUS HOUSE FOR SALE IN DHA PHASE 6,
1 hour ago,"Bahria Town - Janiper Block, Bahria Town - Sector C, Bahria Town, Lahore, Punjab","{'Main Features': ['Built in year', 'Parking Spaces: 2', 'Flooring', 'Floors: 2'], 'Rooms': ['Bedrooms: 5', 'Bathrooms: 6', 'Servant Quarters', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Powder Room ', 'Store Rooms', 'Lounge or Sitting Room'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Nearby Public Transport Service', 'Other Nearby Places'], 'Other Facilities\r\n': ['Security Staff', 'Other Facilities']}",10 Marla,6,5,PKR,super hot,"10 Marla Modern Design House is with genuine Pictures,5 Bedrooms with Attached Elegant Washrooms,2 Beautiful Kitchens with Accessories,Excellent Tiles Used,Charming Colour theme is Used,Spacious Drawing & Dining,All Amenities of Life,Near All Famous Food Chains & Restaurants,Secured Living,Beautiful Construction with A+ Material,Pure Residential Area,Easy Approach & Exit,Call for more details and options",https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_janiper_block_10_marla_park_facing_modern_design_house_is_for_sale_in_janiper_block_bahria_town-51498161-1792-1.html,House,no,yes,no,"Bahria Town, Lahore, Punjab",4.5 Crore,45000000.0,For Sale,10 Marla Park Facing Modern Design House Is For Sale In Janiper Block Bahria Town,
9 minutes ago,"Bahria Town - Sector F, Bahria Town, Lahore, Punjab","{'Main Features': ['Built in year: 2024', 'Parking Spaces', 'Double Glazed Windows', 'Central Air Conditioning', 'Central Heating', 'Flooring', 'Electricity Backup', 'Waste Disposal', 'Floors: 2', 'Other Main Features'], 'Rooms': ['Bedrooms: 3', 'Bathrooms: 4', 'Servant Quarters: 1', 'Drawing Room', 'Dining Room', 'Kitchens: 2', 'Study Room', 'Prayer Room', 'Powder Room ', 'Gym', 'Store Rooms: 1', 'Steam Room', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Swimming Pool', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places']}",5 Marla,4,3,PKR,hot,"BRAND NEW 5 MARLA FULL HOUSE AVALIABLE FOR SALE SECTOR F BLOCK SHERSHA BAHRIA TOWN LAHORE,A great opportunity has presented itself in the form of this beautiful House in Bahria Town Lahore Situated in Hussain Block Bahria Town Lahore The House is located on a prime location close to a commercial area and other amenities of the town ,The block has underground wiring, wide foot paths, street lights, 24 hours water supply, uninterrupted power supply, garbage collection facility, 24 hours security and etc ,Bahria Town compels a large number of people to move in and build their dream houses on a land closed to vast amenities like Hospitals, Schools, Health Clubs, Shopping Malls, Cinemas, Restaurants, Beautiful Parks, Recreational Centres, Beautiful Mosques, Safari Zoo and many more ,Please Contact us for more details ,Bahria Town Amenities, -,- Beautiful Parks,- Cinemas,- Hospitals,- Schools,- Eiffel Tower (Replica),- Health Clubs,- Shopping Malls,- Restaurants,- Recreational Centers,- World Class Mosques,- Highly Maintained Parks,- 24 Hours Security Patrolling ,- Fire Fighting Facility,- Garbage Collection,- Uninterrupted Power Supply with Backup Electric Generators,- 24 hours on call maintenance facility,- Safari Zoo,WE: WE (Achijaga), -,WE is registered under the regulation of the business of real estate in Pakistan (regulation of business ordinance, 1980) WE is well known for the marketing of properties of special appeal To our honourable customers we provide ourselves with professionalism, presentation and quality of service We cover most of the well-known societies of Lahore and Islamabad ,WE will provide initial advice for free and the enquiry will be handled by one of our fully qualified Consultant or Director We have built an enviable reputation for selling a varied portfolio of properties WE is a family business offering the highest standard of service in all aspects, we pay close attention to our customer needs and guide them with the best of our knowledge Bearing in mind the long term relation with the customer WE provides genuine property and gives excellent after sales services ,Whether you are interested in buying, selling or renting, a phone call will put you in touch with our experienced property expert who will serve you with excellent service """,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_brand_new_5_marla_full_house_avaliable_for_sale_sector_f_block_shersha_bahria_town_lahore-51439484-3097-1.html,House,no,yes,no,"Bahria Town, Lahore, Punjab",1.95 Crore,19500000.0,For Sale,BRAND NEW 5 MARLA FULL HOUSE AVALIABLE FOR SALE SECTOR F BLOCK SHERSHA BAHRIA TOWN LAHORE,
9 minutes ago,"Bahria Town - Sector B, Bahria Town, Lahore, Punjab","{'Main Features': ['Built in year: 2024', 'Parking Spaces: 3', 'Double Glazed Windows', 'Flooring', 'Electricity Backup', 'Floors: 2', 'Other Main Features'], 'Rooms': ['Bedrooms: 04', 'Bathrooms: 05', 'Servant Quarters: 01', 'Drawing Room', 'Dining Room', 'Kitchens: 02', 'Study Room', 'Prayer Room', 'Powder Room ', 'Store Rooms: 01', 'Lounge or Sitting Room', 'Laundry Room', 'Other Rooms'], 'Business and Communication': ['Broadband Internet Access', 'Satellite or Cable TV Ready', 'Intercom', 'Other Business and Communication Facilities'], 'Community Features': ['Community Lawn or Garden', 'Community Swimming Pool', 'Community Gym', 'First Aid or Medical Centre', 'Day Care Centre', 'Kids Play Area', 'Barbeque Area', 'Mosque', 'Community Centre', 'Other Community Facilities'], 'Healthcare Recreational': ['Lawn or Garden', 'Swimming Pool', 'Sauna', 'Jacuzzi', 'Other Healthcare and Recreation Facilities'], 'Nearby Locations and Other Facilities': ['Nearby Schools', 'Nearby Hospitals', 'Nearby Shopping Malls', 'Nearby Restaurants', 'Distance From Airport (kms)', 'Nearby Public Transport Service', 'Other Nearby Places']}",8 Marla,5,4,PKR,hot,"BRAND NEW 08 MARLA HOUSE AVALIABLE FOR SALE SECTOR E SECTOR B BLOCK RAFI JINNAH NISHTER BAHRIA TOWN LAHORE,A great opportunity has presented itself in the form of this beautiful House in Bahria Town Lahore Situated in Hussain Block Bahria Town Lahore The House is located on a prime location close to a commercial area and other amenities of the town ,The block has underground wiring, wide foot paths, street lights, 24 hours water supply, uninterrupted power supply, garbage collection facility, 24 hours security and etc ,Bahria Town compels a large number of people to move in and build their dream houses on a land closed to vast amenities like Hospitals, Schools, Health Clubs, Shopping Malls, Cinemas, Restaurants, Beautiful Parks, Recreational Centres, Beautiful Mosques, Safari Zoo and many more ,Please Contact us for more details ,Bahria Town Amenities, -,- Beautiful Parks,- Cinemas,- Hospitals,- Schools,- Eiffel Tower (Replica),- Health Clubs,- Shopping Malls,- Restaurants,- Recreational Centers,- World Class Mosques,- Highly Maintained Parks,- 24 Hours Security Patrolling ,- Fire Fighting Facility,- Garbage Collection,- Uninterrupted Power Supply with Backup Electric Generators,- 24 hours on call maintenance facility,- Safari Zoo,WE: THE TOWN ESTATE, -,WE is registered under the regulation of the business of real estate in Pakistan (regulation of business ordinance, 1980) WE is well known for the marketing of properties of special appeal To our honorable customers we provide ourselves with professionalism, presentation and quality of service We cover most of the well-known societies of Lahore and Islamabad ,WE will provide initial advice for free and the enquiry will be handled by one of our fully qualified Consultant or Director We have built an enviable reputation for selling a varied portfolio of properties WE is a family business offering the highest standard of service in all aspects, we pay close attention to our customer needs and guide them with the best of our knowledge Bearing in mind the long term relation with the customer WE provides genuine property and gives excellent after sales services ,Whether you are interested in buying, selling or renting, a phone call will put you in touch with our experienced property expert who will serve you with excellent service """,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_b_brand_new_08_marla_house_avaliable_for_sale_sector_e_sector_b_block_rafi_jinnah_nishter_bahria_town_lahore-51524703-1772-1.html,House,no,yes,no,"Bahria Town, Lahore, Punjab",2.49 Crore,24900000.000000004,For Sale,BRAND NEW 08 MARLA HOUSE AVALIABLE FOR SALE SECTOR E SECTOR B BLOCK RAFI JINNAH NISHTER BAHRIA TOWN LAHORE,
